"1,Ph?n c?a ???ng b? ???c s? d?ng cho các ph??ng ti?n giao thông qua l?i là gì?,,KNQTGT,,,,Ph?n m?t ???ng và l? ???ng.,Ph?n ???ng xe ch?y.,Ph?n ???ng xe c? gi?i.,,2,"																																
"2,“Làn ???ng” là gì?,,KNQTGT,,,,""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, s? d?ng cho xe ch?y."",""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, có b? r?ng ?? cho xe ch?y an toàn."",""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, có ?? b? r?ng cho xe ô tô ch?y an toàn."",,2,"																																
"3,Khái ni?m “Kh? gi?i h?n ???ng b?” ???c hi?u nh? th? nào là ?úng?,,KNQTGT,,,,""Là kho?ng tr?ng có kích th??c gi?i h?n v? chi?u cao, chi?u r?ng c?a ???ng, c?u, b?n phà, h?m ???ng b? ?? các xe k? c? hàng hóa x?p trên xe ?i qua ???c an toàn."",""Là kho?ng tr?ng có kích th??c gi?i h?n v? chi?u r?ng c?a ???ng, c?u, b?n phà, h?m trên ???ng b? ?? các xe k? c? h"	àng hóa	"x?p trên xe ?i qua ???c an toàn."",""Là kho?ng"	t	r?ng	có	k	ích	th??c	gi?i h	?n v?	chi	?u	c	ao	c?	a c?u	", b?n"	"phà,"	h?	m tr	ên	??	?ng b	? ?	? cá	c xe	?i qua	??	?c an	to	àn	"."",,1,"
"4,""Trong các khái ni?m d??i ?ây, “d?i phân cách” ???c hi?u nh? th? nào là ?úng?"",,KNQTGT,,,,Là b? ph?n c?a ???ng ?? ng?n cách không cho các lo?i xe vào nh?ng n?i không ???c phép.,Là b? ph?n c?a ???ng ?? phân tách ph?n ???ng xe ch?y và hành lang an toàn giao thông.,Là b? ph?n c?a ???ng ?? phân chia m?t ???ng thành hai chi?u xe ch?y riêng bi?t ho?c ?? ph"	ân chia	"ph?n ???ng c?a xe c? gi?i và xe thô s?.,,3,"																														
"5,“D?i phân cách” trên ???ng b? g?m nh?ng lo?i nào?,,KNQTGT,,,,D?i phân cách g?m lo?i c? ??nh và lo?i di ??ng.,""D?i phân cách g?m t??ng ch?ng ?n, h? lan c?ng và h? lan m?m."",D?i phân cách g?m giá long môn và bi?n báo hi?u ???ng b?.,,1,"																																
"6,Ng??i lái xe ???c hi?u nh? th? nào trong các khái ni?m d??i ?ây?,,KNQTGT,,,,Là ng??i ?i?u khi?n xe c? gi?i,Là ng??i ?i?u khi?n xe thô s?.,Là ng??i ?i?u khi?n xe có súc v?t kéo.,,1,"																																
"7,""???ng mà trên ?ó ph??ng ti?n tham gia giao thông ???c các ph??ng ti?n giao thông ??n t? h??ng khác nh??ng ???ng khi qua n?i ???ng giao nhau, ???c c?m bi?n báo hi?u ???ng ?u tiên là lo?i ???ng gì?"",,KNQTGT,,,,???ng không ?u tiên.,???ng t?nh l?.,???ng qu?c l?.,???ng ?u tiên.,4,"																																
"8,Khái ni?m “ph??ng ti?n giao thông c? gi?i ???ng b?” ???c hi?u th? nào là ?úng?,,KNQTGT,,,,G?m xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe g?n máy; xe c? gi?i dùng cho ng??i khuy?t t?t và xe máy chuyên dùng.,""G?m xe ô tô; máy kéo; r? moóc ho?c s? mi r? moóc ???c kéo b?i xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe g?n máy (k"	? c? xe	"máy ?i?n) và các lo?i xe t??ng t?."",,,2,"																														
"9,Khái ni?m “ph??ng ti?n giao thông thô s? ???ng b?” ???c hi?u th? nào là ?úng?,,KNQTGT,,,,""G?m xe ??p (k? c? xe ??p máy, xe ??p ?i?n), xe xích lô, xe l?n dùng cho ng??i khuy?t t?t, xe súc v?t kéo và các lo?i xe t??ng t?."",""G?m xe ??p (k? c? xe ??p máy, xe ??p ?i?n), xe g?n máy, xe c? gi?i dùng cho ng??i khuy?t t?t và xe máy chuyên dùng."",""G?m xe ô tô,"	máy ké	"o, r? moóc ho?c s? mi r? moóc ???c kéo b?i xe"	ô	"tô,"	má	y	kéo	"."",,1,"																								
"10,“Ph??ng ti?n tham gia giao thông ???ng b?” g?m nh?ng lo?i nào?,,KNQTGT,,,,Ph??ng ti?n giao thông c? gi?i ???ng b?.,Ph??ng ti?n giao thông thô s? ???ng b? và xe máy chuyên dùng.,C? ý 1 và ý 2.,,3,"																																
"11,“Ng??i tham gia giao thông ???ng b?” g?m nh?ng ??i t??ng nào?,,KNQTGT,,,,""Ng??i ?i?u khi?n, ng??i s? d?ng ph??ng ti?n tham gia giao thông ???ng b?."",""Ng??i ?i?u khi?n, d?n d?t súc v?t; ng??i ?i b? trên ???ng b?."",C? ý 1 và ý 2.,,3,"																																
"12,“Ng??i ?i?u khi?n ph??ng ti?n tham gia giao thông ???ng b?” g?m nh?ng ??i t??ng nào d??i ?ây?,,KNQTGT,,,,""Ng??i ?i?u khi?n xe c? gi?i, ng??i ?i?u khi?n xe thô s?."",Ng??i ?i?u khi?n xe máy chuyên dùng tham gia giao thông ???ng b?.,C? ý 1 và ý 2,,3,"																																
"13,Khái ni?m “ng??i ?i?u khi?n giao thông” ???c hi?u nh? th? nào là ?úng?,,KNQTGT,,,,""Là ng??i ?i?u khi?n ph??ng ti?n tham gia giao thông t?i n?i thi công, n?i ùn t?c giao thông, ? b?n phà, t?i c?u ???ng b? ?i chung v?i ???ng s?t."",""Là c?nh sát giao thông, ng??i ???c giao nhi?m v? h??ng d?n giao thông t?i n?i thi công, n?i ùn t?c giao thông, ? b?n phà,"	t?i c?	"u ???ng b? ?i chung v?i ???ng s?t."",""Là ng??i"	t	ham	gia	g	iao	thông	t?i n?	i thi	côn	"g,"	n	?i	ùn	t?c	giao	thông	", ?"	b?n	p	"hà,"	t?i	c?u	???	ng b	? ?i ch	ung	v?i	???	ng	"s?t."",,2,"
"14,Trong các khái ni?m d??i ?ây khái ni?m “d?ng xe” ???c hi?u nh? th? nào là ?úng?,,KNQTGT,,,,""Là tr?ng thái ??ng yên c?a ph??ng ti?n giao thông không gi?i h?n th?i gian ?? cho ng??i lên, xu?ng ph??ng ti?n, x?p d? hàng hóa ho?c th?c hi?n công vi?c khác."",""Là tr?ng thái ??ng yên t?m th?i c?a ph??ng ti?n giao thông trong m?t kho?ng th?i gian c?n thi?t ??"	?? cho	"ng??i lên, xu?ng ph??ng ti?n, x?p d? hàng hó"	a	ho?c	th	?c	hi	?n côn	g vi?c	khác.	""",Là"	t	r?	ng	th	ái ??	ng yê	n c?a	ph	??ng	t	i?n	giao	th	ông	khôn	g gi?i	h?n	th?i	gi	an	"gi?a 02 l?n v?n chuy?n hàng hóa ho?c hành khách.,,2,"
"15,Khái ni?m “?? xe” ???c hi?u nh? th? nào là ?úng quy t?c giao thông?,,KNQTGT,,,,""Là tr?ng thái ??ng yên c?a ph??ng ti?n giao thông có gi?i h?n trong m?t kho?ng th?i gian c?n thi?t ?? ?? cho ng??i lên, xu?ng ph??ng ti?n ?ó, x?p d? hàng hóa ho?c th?c hi?n công vi?c khác."",Là tr?ng thái ??ng yên c?a ph??ng ti?n giao thông không gi?i h?n th?i gian.,,,2,"																																
"16,Khái ni?m “???ng cao t?c” ???c hi?u nh? th? nào là ?úng?,,KNQTGT,,,,???ng dành riêng cho xe ôtô và m?t s? lo?i xe chuyên dùng ???c phép ?i vào theo quy ??nh c?a Lu?t Giao thông ???ng b?.,Có d?i phân cách phân chia ???ng cho xe ch?y hai chi?u riêng bi?t mà d?i phân cách này xe không ?i ???c lên trên; không giao nhau cùng m?c v?i m?t ho?c m?t s? ???ng"	"khác.,"	"""???c b? trí ??y ?? trang thi?t b? ph?c v?, b"	?o	??m	gi	ao	th	ông li	"ên t?c,"	an t	"oàn,"	r	út	n	g?n	th?i	gian	hành	tr	ình	và	ch	? cho	xe	"ra,"	vào	? nh?n	g ?	i?m n	h?t	?	"?nh."",T?t c? các ý trên.,4,"
"17,Hành vi nào d??i ?ây b? nghiêm c?m?,,KNQTGT,,,1,?? xe trên ???ng ph?,S? d?ng xe ??p ?i trên các tuy?n qu?c l? có t?c ?? cao.,""Làm h?ng (c? ý) c?c tiêu, g??ng c?u, d?i phân cách."",S? d?ng còi và quay ??u xe trong khu dân c?.,3,"																																
"18,""Hành vi ??a xe c? gi?i, xe máy chuyên dùng không b?o ??m tiêu chu?n an toàn k? thu?t và b?o v? môi tr??ng vào tham gia giao thông ???ng b? có b? nghiêm c?m hay không?"",,KNQTGT,,,1,Không nghiêm c?m.,B? nghiêm c?m.,B? nghiêm c?m tùy theo các tuy?n ???ng.,B? nghiêm c?m tu? theo lo?i xe.,2,"																																
"19,Cu?c ?ua xe ch? ???c th?c hi?n khi nào?,,KNQTGT,,,1,Di?n ra trên ???ng ph? không có ng??i qua l?i.,???c ng??i dân ?ng h?.,???c c? quan có th?m quy?n c?p phép.,,3,"																																
"20,Ng??i ?i?u khi?n ph??ng ti?n giao thông ???ng b? mà trong c? th? có ch?t ma túy có b? nghiêm c?m hay không?,,KNQTGT,,,1,B? nghiêm c?m.,Không b? nghiêm c?m.,""Không b? nghiêm c?m, n?u có ch?t ma túy ? m?c nh?, có th? ?i?u khi?n ph??ng ti?n tham gia giao thông."",,1,"																																
"21,""Vi?c lái xe mô tô, ô tô, máy kéo ngay sau khi u?ng r??u, bia có ???c phép hay không?"",,KNQTGT,,,1,Không ???c phép.,Ch? ???c lái ? t?c ?? ch?m và quãng ???ng ng?n.,Ch? ???c lái n?u trong c? th? có n?ng ?? c?n th?p.,,1,"																																
"22,""Ng??i ?i?u khi?n xe ô tô, mô tô, máy kéo trên ???ng mà trong máu ho?c h?i th? có n?ng ?? c?n có b? nghiêm c?m không?"",,KNQTGT,,,1,B? nghiêm c?m.,Không b? nghiêm c?m.,""Không b? nghiêm c?m, n?u n?ng ?? c?n trong máu ? m?c nh?, có th? ?i?u khi?n ph??ng ti?n tham gia giao thông."",,1,"																																
